,capacity
T2,3000
Y8 Plus,4000
i-mobile_i-STYLE_219,1050
6045F,2910
G-3,3000
ML-JI-M7_3G_PLUS,4500
SM-A305N,4000
6055D,2610
iris402+,1500
NX612J,4000
SM-A205U,4000
CPH1931,5000
Note 5X,4000
SM-M307F,6000
Infinix G636,5000
Flare J8 LTE,3500
Easy,580
HTC 802w,2300
5152D,3000
BLU R1 HD,2500
Lenovo X2-TO,2300
Ureki_U1,3500
LG-H788n,2610
AS-5412 max,2800
F7000,3300
Micromax Q325,1450
M13,3050
L6,820
SpeedX,930
swisstone SD 510,2200
M70,4500
LGLS885,3000
Lion 1,1900
vivo X7Plus,4000
U304AA,4000
GSmart Essence,1600
QMobile X300,1800
ALCATEL ONE TOUCH 8000D,2500
HP Slate 6 Voice Tab,3000
HTC_U-3u,3000
REVVLRY+,3000
TECNO KC8,3000
SM-T510X,6150
SM-T719C,4000
Ulefone_Note 7,3500
P45,1800
A920,3800
vivo 1908,4030
nova 5,3500
OPPO A33,2400
X200,800
5008U,3
SM-G850W,1860
Primo F8,2600
S9+,3000
BAH2-L09,7500
AX-6,1810
HUAWEI Y635-TL00,2000
SM-T537R4,6800
HM-I506-W,2000
Lenovo S920_ROW,2250
M002Q-2,4230
HTC first,2000
Legend,1300
CK3-01,3000
Philips S309,1600
TCL P360W,4500
GT-I8200Q,1500
XZ,2900
ASUS_T00P,2110
Z5031O,4080
Micromax A200,1800
X75,1000
Nexus 10,9000
Optima,3000
NXA8QC116,3800
MX107,800
Jax X,3765
ZTE Blade A460,2200
SMART_PLUS,3900
LT_M5,5020
HTC_D310n,2000
LG-D681,3140
TECNO-Y3+,2280
Lenovo A360t,1500
SM-T815Y,5870
CPH1938,4020
V60,5000
HTC Desire S,1450
HTC One_M8 Eye,2600
SM-G3608,2000
FMT-NM7058-02,5000
Kata-C3,1320
GT50 L,420
GM1913,4000
BBB100-1,3500
LML713DL,3300
Blade L3,2000
C_Note,4500
A800,3050
Z755,1650
BLADE A6,5000
Mate 10,4000
LYA-L09,4200
Lenovo PB2-650Y,4050
Marathon,6020
Supreme_Fine_Mini,2400
HTC Desire 516 dual sim,1950
Nokia 1 Plus,2500
AP-115G,4000
LG-F200L,2150
X5_Soul_Mini,3050
A3_Pro,4000
Lenovo A368T,2000
Energy S500,3000
Lenovo L38012,3760
ZTE Blade A7 2019,3200
H4331,3300
Bp 138 View,4000
F3 Plus,4000
LG-D805,3000
WC300,2900
GX3 Plus,3140
ASUS_X550,3030
Maximus D1,2500
5063,2800
SM-N915P,3000
X27 plus,4000
LG-D838,3200
3G Q45(2+16GB),3100
SM-A605K,3500
W-K130-EEA,1940
GT-I8160L,1500
V48,2610
SM-A600A,3000
GT-S7898,1500
Z916BL,2300
M6 Note,4000
WE A1,3080
TECNO KB2h,3500
SM-J701F/DS,3000
TECNO BA2,5000
HUAWEI Y600-U351,2100
FAST7 3G,2820
A450,1750
V15 Mini,4000
Infinix X650,5000
ASUS MeMO Pad 7,15
HUAWEI Y330-U15,1500
0PCV1,2100
U50A,2050
Elite M45,3000
SM-A505GT,4000
F702,4000
ASUS_X009DB,2070
Plane 7539E 4G PS7155ML,5020
A210,730
F3_Pro,4000
Micromax E4816,2730
ACE2,4000
V11i,3315
Neffos Y7,4000
ALCATEL ONE TOUCH 6030X,1800
GT-T150,900
X2_Twin,1920
MyPhone my73 DTV,1500
6045O,2910
CPH1917,3765
IP8,1821
ASUS_X009DD,2070
4032X,1300
Plane 7004 3G PS7032MG,650
HUAWEI G510-0251,1700
AF5,3200
CPH1920,4230
BLU ADVANCE 4.0 L,1300
Vivo 6,3130
Neo4_5,1800
SM-A505FM,4000
X_Ultra,3050
vivo 1910,4100
E600,900
A83,3180
Infinix X609B,3500
QMobile i8i 2019,2120
Alcatel B 5033T,2460
RX-1,2420
HUAWEI P9 lite,3000
ZTE Blade A7 2019RU,3200
N9518,1600
Mi 9X,3300
Alcatel_5008R,3500
B355,1000
ELUGA_I7_EE,4000
UMI_London,5150
TS-444,2600
M10Plus,3400
SM-T515,6150
Q415,1800
YAL-L21,3750
CPH1937,5000
SM-S260DL,2600
Race 1,4500
moto e(6) plus,3000
PadFone Infinity,2400
XT1096,2300
HTC One S,1650
6607,3000
QMobile S9,3000
Neon Storm,3500
L800,3000
DLT-H0,4000
Coolpad 8297L-I00,3000
HTC331ZLVWPP,2040
i980+,2100
F1-F2-F3-M10-Y900-B5,4700
MI 9,3300
SM-A307FN,4000
A80A,3700
P3100,4000
Z12 PRO,3150
ML02-M7S-Quad-Core,2100
ASUS_Z016D,3000
Primo R5,2000
LG-H221,1900
A328,2000
V551 Aura,810
S93,3000
COVET mini,4490
HTC_D10u,2700
OPPO A33m,2400
HTC 2Q55300,3000
VT-12,5000
SCL23,2800
P30A,3650
SM-A810S,3300
E7L,2950
SM-T337V,4450
LG-P716,2460
LG-D213,1900
Mi 9T,4000
LG-E615f,1540
SM-J120W,2050
Admire Neo,4500
Lenovo X3c70,3500
C10 Pro,4000
M7-3G-PLUS,5000
Tecno V2,3500
VINUS V9,3260
G7,3000
K10000 Mix,4400
Platinum_F5,3200
CHC-U23,2550
F15,4025
HIT Q400 3G HT4023PG,1500
SH-01L,3130
Platinum_E5,4000
Micromax A350,2350
RMX1971,4035
